,depth,temp,salinity,EC,EC25,Density,sigmaT,Chl-Flu,Chl-a,dakudo,DO%,DOmg,V,No
124,0.5,5.836,0.303,0.396,684.926,1000.193,0.19,12.16,12.16,59.25,109.9,13.701,8.15,14.0
125,0.6,5.806,0.303,0.396,685.474,1000.194,0.191,13.95,13.95,104.45,109.58,13.664,8.15,14.0
126,0.7,5.965,0.338,0.443,761.531,1000.218,0.215,10.58,10.58,72.71,110.3,13.669,8.17,14.0
127,0.0,5.904,0.303,0.398,685.803,1000.189,0.189,4.61,4.61,6.59,109.92,13.67,8.22,15.0
128,0.1,5.905,0.303,0.398,686.086,1000.189,0.189,4.65,4.65,6.66,110.06,13.69,8.15,15.0
129,0.2,5.876,0.303,0.397,685.556,1000.19,0.189,5.05,5.05,7.0,110.14,13.708,8.15,15.0
130,0.3,5.855,0.304,0.397,686.656,1000.192,0.19,5.56,5.56,7.02,110.01,13.705,8.15,15.0
131,0.4,5.822,0.303,0.397,686.237,1000.193,0.191,7.55,7.55,13.4,109.93,13.705,8.16,15.0
132,0.5,5.844,0.303,0.397,685.623,1000.193,0.19,8.51,8.51,20.3,110.12,13.714,8.14,15.0
133,0.6,5.828,0.303,0.397,685.968,1000.194,0.191,11.54,11.54,44.9,110.44,13.766,8.14,15.0
134,0.7,5.818,0.303,0.397,686.605,1000.195,0.191,14.63,14.63,63.46,110.45,13.762,8.15,15.0
135,0.8,5.814,0.303,0.396,685.322,1000.195,0.191,31.15,31.15,109.13,110.69,13.794,8.15,15.0
136,0.9,5.851,0.301,0.394,680.358,1000.193,0.188,51.61,51.61,212.19,106.32,13.245,8.14,15.0
137,0.0,5.977,0.303,0.398,684.99,1000.186,0.186,2.79,2.79,6.41,110.97,13.774,8.24,16.0
138,0.1,5.998,0.303,0.399,684.917,1000.186,0.186,2.88,2.88,6.66,111.03,13.774,8.17,16.0
139,0.2,5.862,0.303,0.397,685.073,1000.191,0.19,3.12,3.12,6.98,111.1,13.803,8.16,16.0
140,0.3,5.81,0.302,0.395,684.029,1000.192,0.191,3.57,3.57,6.91,111.09,13.829,8.17,16.0
141,0.4,5.645,0.304,0.395,688.291,1000.198,0.196,3.95,3.95,6.81,110.84,13.869,8.14,16.0
142,0.5,5.622,0.304,0.395,688.65,1000.2,0.197,4.46,4.46,6.8,110.56,13.847,8.16,16.0
143,0.6,5.622,0.303,0.394,687.62,1000.2,0.197,4.9,4.9,6.93,110.46,13.835,8.16,16.0
144,0.7,5.575,0.303,0.394,687.887,1000.201,0.198,5.36,5.36,7.15,110.36,13.835,8.16,16.0
145,0.8,5.543,0.303,0.393,687.571,1000.202,0.198,5.91,5.91,7.09,110.2,13.83,8.17,16.0
146,0.9,5.507,0.303,0.393,687.506,1000.204,0.199,6.09,6.09,7.12,110.1,13.832,8.15,16.0
147,1.0,5.461,0.302,0.392,686.907,1000.205,0.2,6.31,6.31,7.28,110.11,13.852,8.15,16.0
148,1.1,5.413,0.302,0.391,687.556,1000.207,0.201,6.76,6.76,7.53,110.04,13.861,8.17,16.0
149,1.2,5.367,0.302,0.39,686.231,1000.208,0.202,8.3,8.3,8.73,109.88,13.856,8.15,16.0
150,1.3,5.297,0.287,0.37,653.877,1000.198,0.191,13.4,13.4,33.31,109.43,13.828,8.15,16.0
151,0.0,5.88,0.303,0.397,685.901,1000.189,0.189,2.94,2.94,6.59,110.14,13.705,8.24,17.0
152,0.1,5.864,0.303,0.397,685.97,1000.19,0.19,3.22,3.22,6.88,109.91,13.682,8.14,17.0
153,0.2,5.855,0.303,0.397,686.512,1000.191,0.19,3.43,3.43,6.91,110.24,13.723,8.15,17.0
154,0.3,5.794,0.302,0.395,684.349,1000.193,0.191,4.02,4.02,6.98,110.22,13.731,8.14,17.0
155,0.4,5.717,0.302,0.394,685.11,1000.195,0.193,4.37,4.37,7.07,110.34,13.779,8.14,17.0
156,0.5,5.614,0.303,0.394,686.795,1000.199,0.197,5.11,5.11,7.12,109.85,13.765,8.14,17.0
157,0.6,5.582,0.303,0.394,687.49,1000.201,0.198,5.36,5.36,7.18,109.74,13.765,8.13,17.0
158,0.7,5.537,0.303,0.393,687.992,1000.202,0.199,6.17,6.17,9.36,109.64,13.767,8.15,17.0
159,0.8,5.534,0.303,0.394,688.339,1000.203,0.199,6.47,6.47,10.94,109.65,13.769,8.15,17.0
160,0.9,5.539,0.303,0.394,688.487,1000.203,0.199,7.01,7.01,12.1,109.64,13.763,8.15,17.0
161,1.0,5.537,0.303,0.393,687.831,1000.204,0.199,7.1,7.1,12.72,109.65,13.765,8.14,17.0
162,1.1,5.537,0.303,0.393,688.017,1000.204,0.199,7.1,7.1,12.78,109.66,13.767,8.15,17.0
163,1.2,5.532,0.303,0.394,688.466,1000.205,0.199,8.35,8.35,15.14,109.65,13.766,8.14,17.0
164,0.0,7.967,0.071,0.102,163.287,999.909,-0.091,8.73,8.73,18.62,142.15,16.947,8.23,18.0
165,0.1,8.067,0.044,0.063,100.934,999.882,-0.118,9.39,9.39,33.95,142.08,16.951,8.2,18.0
166,0.2,8.09,0.0,-0.01,-15.799,999.846,-0.155,8.98,8.98,29.33,141.93,16.935,8.19,18.0
167,0.3,8.069,0.0,-0.008,-12.103,999.848,-0.153,8.04,8.04,21.29,141.86,16.911,8.2,18.0
168,0.4,8.056,0.008,0.009,14.244,999.856,-0.146,7.16,7.16,14.79,141.17,16.78,8.18,18.0
169,0.5,8.05,0.0,-0.007,-10.907,999.85,-0.152,6.7,6.7,11.69,140.8,16.698,8.18,18.0
170,0.6,8.044,0.0,-0.01,-15.333,999.851,-0.152,6.2,6.2,9.88,140.78,16.659,8.17,18.0
171,0.7,7.957,0.01,0.012,18.551,999.865,-0.139,5.35,5.35,8.38,117.79,13.87,8.14,18.0
172,0.8,8.246,0.027,0.039,61.065,999.861,-0.143,5.63,5.63,8.49,121.08,14.254,8.14,18.0
173,0.9,8.207,0.0,-0.004,-7.011,999.842,-0.162,5.64,5.64,8.84,121.54,14.31,8.15,18.0
174,1.0,8.098,0.0,-0.004,-6.013,999.85,-0.155,5.55,5.55,8.42,124.14,14.613,8.14,18.0
175,1.1,8.133,0.036,0.052,82.211,999.877,-0.128,5.61,5.61,8.35,126.2,14.859,8.15,18.0
176,0.0,6.429,0.07,0.097,163.441,999.984,-0.016,5.86,5.86,6.9,137.82,16.93,8.23,19.0
177,0.1,6.155,0.071,0.097,165.68,999.995,-0.006,7.79,7.79,7.95,138.03,17.01,8.14,19.0
178,0.2,5.899,0.073,0.099,171.432,1000.005,0.004,23.83,23.83,226.42,137.04,17.075,8.14,19.0
179,0.0,4.754,0.038,0.051,92.084,1000.001,0.001,2.89,2.89,5.2,121.81,15.638,8.22,20.0
180,0.1,4.963,0.055,0.074,133.222,1000.012,0.012,4.81,4.81,6.31,120.58,15.391,8.15,20.0
181,0.2,5.273,0.067,0.09,158.558,1000.016,0.015,8.97,8.97,14.75,122.42,15.48,8.14,20.0
182,0.3,5.218,0.069,0.092,163.616,1000.02,0.018,9.09,9.09,11.17,122.91,15.571,8.14,20.0
